A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
David Duke Jr.,SAS,4,51,0.556,26,10,5,2,0,2,3,4
Mouhamadou Gueye,TOR,11,120,0.289,26,23,5,3,18,4,12,15
Chris Livingston,MIL,21,90,0.5,26,21,5,2,0,13,5,15
Admiral Schofield,ORL,23,84,0.385,26,17,7,1,0,11,5,9
Oscar Tshiebwe,IND,8,42,0.5,26,16,2,2,1,10,0,3
Colin Castleton,LAL,16,59,0.563,24,12,3,2,0,8,3,11
Mouhamed Gueye,ATL,6,73,0.348,24,22,4,5,4,6,1,13
Amari Bailey,CHO,10,65,0.333,23,9,7,3,0,0,4,2
RaiQuan Gray,SAS,3,39,0.588,23,7,6,1,1,2,1,0
Jay Huff,DEN,20,49,0.6,23,11,2,2,3,14,1,9
Isaiah Mobley,CLE,10,72,0.417,23,10,6,2,0,12,2,6
Ish Wainright,2TM,11,62,0.292,23,14,1,4,1,0,2,8
Ish Wainright,POR,7,46,0.333,20,9,0,2,1,1,1,4
Ish Wainright,PHO,4,16,0.167,3,5,1,2,0,0,1,4
Dexter Dennis,DAL,4,30,0.526,22,9,4,0,1,11,3,1
Braxton Key,DEN,20,60,0.412,22,18,9,2,1,14,1,5
Kendall Brown,IND,15,63,0.533,21,5,5,0,0,10,2,9
Jamaree Bouyea,2TM,9,95,0.357,21,19,11,1,0,0,9,10
Jamaree Bouyea,POR,6,57,0.238,10,10,8,0,0,1,8,3
Jamaree Bouyea,SAS,3,38,0.714,11,9,3,1,0,2,1,7
Jermaine Samuels,HOU,14,60,0.643,20,13,3,1,2,5,0,5
Kobi Simmons,TOR,4,67,0.429,20,7,12,6,2,4,1,5
Hunter Tyson,DEN,18,48,0.4,20,9,2,1,0,14,2,10
Malik Williams,TOR,7,107,0.265,19,38,2,3,4,4,3,15
Robin Lopez,MIL,16,65,0.368,18,5,4,1,3,13,2,7
Taze Moore,POR,4,40,0.421,18,8,5,2,0,1,3,4
Wendell Moore Jr.,MIN,25,75,0.5,18,12,6,5,1,13,4,5
Wenyen Gabriel,MEM,5,81,0.364,17,25,3,2,2,3,8,10
JD Davison,BOS,8,39,0.417,16,10,10,1,1,15,2,4
Greg Brown III,DAL,6,40,0.455,15,9,4,0,4,11,4,5
Jordan Walsh,BOS,9,83,0.4,15,20,5,5,1,15,3,11
Alex Fudge,2TM,6,40,0.4,15,5,0,3,0,0,2,2
Alex Fudge,LAL,4,14,0.167,4,2,0,0,0,8,1,1
Alex Fudge,DAL,2,26,0.556,11,3,0,3,0,11,1,1
D'Moi Hodge,LAL,7,41,0.333,14,0,5,1,1,8,1,4
DaQuan Jeffries,NYK,17,46,0.353,14,5,5,0,1,14,3,2
Seth Lundy,ATL,9,52,0.235,14,7,0,0,0,6,1,6
Dereon Seabron,NOP,6,55,0.308,14,7,5,2,1,9,0,4
TyTy Washington Jr.,MIL,11,56,0.3,14,5,5,3,0,13,2,1
Timmy Allen,MEM,5,125,0.261,13,17,5,4,0,3,2,18
Jordan Miller,LAC,8,28,0.556,13,5,0,0,0,12,1,2
Jacob Toppin,NYK,9,38,0.556,13,7,3,0,1,14,1,3
Mamadi Diakite,2TM,6,24,0.667,12,4,2,1,1,0,1,2
Mamadi Diakite,SAS,3,16,0.8,12,3,2,0,1,2,0,1
Mamadi Diakite,NYK,3,8,0.0,0,1,0,1,0,14,1,1
Jordan Ford,SAC,6,22,0.571,12,2,2,0,0,7,1,0
Jason Preston,UTA,7,71,0.316,12,17,16,2,1,4,2,3
D.J. Carton,TOR,4,36,0.375,11,4,3,1,0,4,1,3
Henri Drell,CHI,4,30,0.4,11,4,4,2,1,7,2,6
Keyontae Johnson,OKC,9,66,0.313,11,10,4,1,0,15,4,5
Maxwell Lewis,LAL,34,103,0.19,11,4,6,2,1,8,10,5
Drew Peterson,BOS,3,23,0.667,11,1,1,2,0,15,1,1
R.J. Hampton,MIA,8,76,0.286,10,6,8,0,0,8,3,8
D.J. Wilson,PHI,2,15,0.667,10,2,2,0,2,9,0,1
James Johnson,IND,9,47,0.3,8,4,8,5,1,10,5,9
Jalen Slawson,SAC,12,37,0.667,8,7,2,1,1,7,2,8
Isaiah Thomas,PHO,6,19,0.3,8,0,3,0,0,0,0,0
Mason Jones,SAC,5,28,0.25,7,5,5,1,0,7,2,3
Juan Toscano-Anderson,SAC,11,53,0.25,7,14,4,1,1,7,2,11
Charlie Brown Jr.,NYK,8,37,0.2,6,2,0,0,2,14,2,5
Jack White,MEM,4,64,0.125,6,12,1,4,1,3,2,3
Lindell Wigginton,MIL,3,8,0.4,6,0,0,0,0,13,1,1
Frank Ntilikina,CHO,5,43,0.111,5,6,4,0,0,0,1,4
Alondes Williams,MIA,7,16,0.25,5,1,0,0,1,8,2,2
Izaiah Brockington,NOP,1,3,0.4,4,2,0,0,0,9,0,0
Kevon Harris,ORL,2,6,0.667,4,2,1,0,0,11,1,3
Ty Jerome,CLE,2,15,0.5,4,1,3,0,0,12,1,2
E.J. Liddell,NOP,8,23,0.167,4,5,1,2,2,9,2,2
Pat Spencer,GSW,6,26,0.5,4,4,5,0,0,6,1,1
Adam Flagler,OKC,2,14,0.143,3,0,4,0,0,15,0,0
Usman Garuba,GSW,6,18,0.167,3,7,1,1,3,6,2,2
Dariq Whitehead,BRK,2,24,0.2,3,4,3,0,1,0,0,0
Pete Nance,CLE,8,27,0.167,3,3,0,1,0,12,1,2
Filip Petrušev,2TM,3,10,0.5,3,1,0,0,0,0,0,1
Filip Petrušev,SAC,2,7,0.5,3,0,0,0,0,7,0,1
Hamidou Diallo,WAS,2,5,0.5,2,2,1,2,0,2,1,1
Shaquille Harrison,MEM,3,6,0.5,2,2,0,0,1,3,0,0
Quenton Jackson,IND,3,11,0.0,2,4,2,1,0,10,0,1
Markquis Nowell,TOR,1,4,0.0,2,2,2,1,0,4,0,0
Joshua Primo,LAC,2,10,0.333,2,1,0,0,1,12,4,0
Isaiah Wong,IND,1,4,0.333,2,0,0,0,0,10,0,0
Ryan Arcidiacono,NYK,20,45,0.0,0,8,4,2,0,14,2,5
Jalen Crutcher,NOP,1,3,0.0,0,0,0,0,0,9,0,0
Andrew Funk,CHI,5,13,0.0,0,0,0,1,1,7,0,0
Kaiser Gates,NOP,1,7,0.0,0,1,0,0,0,9,0,0
Danny Green,PHI,2,18,0.0,0,2,1,1,0,9,0,1
Dmytro Skapintsev,NYK,2,2,0.0,0,0,0,0,0,14,0,0
